Plant ID,Plant Name,Family,Watering Frequency,Min Ideal Temperature in Celicius,Max Ideal Temperature in Celicius,Sunlight,Air temperature in Celicius,Sun Hours,Sunlight outside
1355932,Pelargonium graveolens L'Hér.,Geraniaceae,Every 1-2 weeks,20,38,Full sun location,21,8,Full sun
1355936,Cirsium arvense (L.) Scop.,Asteraceae,Every week,0,35,Full sun location,32,8,Full sun
1355937,Cirsium vulgare (Savi) Ten.,Asteraceae,Every week,20,35,Full sun location,25,8,Full sun
1355990,Mercurialis annua L.,Euphorbiaceae,Every week,20,38,Full sun location,36,8,Full sun
1356022,Hypericum perforatum L.,Hypericaceae,Every week,5,35,Full sun location,19,8,Full sun
1356257,Melilotus albus Medik.,Fabaceae,Every week,20,38,Full sun location,37,8,Full sun
1356382,Dryopteris filix-mas (L.) Schott,Dryopteridaceae,Twice per week,5,32,Partial sun location,17,5,Partial sun
1356781,Humulus lupulus L.,Cannabaceae,Twice per week,0,35,Full sun location,17,8,Full sun
1357330,Calendula officinalis L.,Asteraceae,Twice per week,20,38,Full sun location,23,8,Full sun
1357635,Helminthotheca echioides (L.) Holub,Asteraceae,Every week,20,35,Full sun location,22,8,Full sun
1358094,Sedum acre L.,Crassulaceae,Every 2-3 weeks,0,32,Full sun location,25,8,Full sun
1358095,Sedum album L.,Crassulaceae,Every 2-3 weeks,20,35,Full sun location,30,8,Full sun
1358133,Sedum sediforme (Jacq.) Pau,Crassulaceae,Every 2 weeks,5,25,Full sun location,18,8,Full sun
1358689,Hypericum androsaemum L.,Hypericaceae,Every 1-2 weeks,5,35,Full sun location,15,8,Full sun
1358752,Lamium purpureum L.,Lamiaceae,Every week,20,35,Partial sun location,30,5,Partial sun
1358766,Lavandula stoechas L.,Lamiaceae,Every week,5,35,Full sun location,15,8,Full sun
1359498,Trifolium incarnatum L.,Fabaceae,Every week,20,35,Full sun location,22,8,Full sun
1359517,Trifolium pratense L.,Fabaceae,Every week,20,35,Full sun location,24,8,Full sun
1359616,Punica granatum L.,Lythraceae,Every 1-2 weeks,5,38,Full sun location,31,8,Full sun
1359620,Alcea rosea L.,Malvaceae,Every week,0,35,Full sun location,8,8,Full sun
1360978,Pancratium maritimum L.,Amaryllidaceae,Every week,15,35,Full sun location,23,8,Full sun
1361656,Ophrys apifera Huds.,Orchidaceae,Every 1-2 weeks,10,35,Partial sun location,16,5,Partial sun
1361823,Lamium galeobdolon (L.) L.,Lamiaceae,Every week,20,35,Partial sun location,20,5,Partial sun
1361824,Lavandula angustifolia Mill.,Lamiaceae,Every week,5,35,Full sun location,29,8,Full sun
1362490,Sedum rupestre L.,Crassulaceae,Every week,10,35,Full sun location,17,8,Full sun
1363128,Papaver rhoeas L.,Papaveraceae,Every week,20,35,Full sun location,33,8,Full sun
1363130,Papaver somniferum L.,Papaveraceae,Twice per week,20,35,Full sun location,33,8,Full sun
1363227,Daucus carota L.,Apiaceae,Twice per week,20,35,Full sun location,30,8,Full sun
1363336,Smilax aspera L.,Smilacaceae,Every 3 weeks,15,38,Full sun location,36,8,Full sun
1363740,Trifolium repens L.,Fabaceae,Every week,0,35,Full sun location,21,8,Full sun
1363764,Acacia dealbata Link,Fabaceae,Every 1-2 weeks,15,38,Full sun location,15,8,Full sun
1363991,Fragaria vesca L.,Rosaceae,Every week,5,35,Full sun location,9,8,Full sun
1364099,Centranthus ruber (L.) DC.,Caprifoliaceae,Every week,20,35,Full sun location,34,8,Full sun
1364164,Lapsana communis L.,Asteraceae,Every week,20,35,Partial sun location,23,5,Partial sun
1364173,Lactuca serriola L.,Asteraceae,Every week,20,35,Full sun location,34,8,Full sun
1367432,Lupinus polyphyllus Lindl.,Fabaceae,Every 1-2 weeks,0,35,Full sun location,29,8,Full sun
1369887,Trachelospermum jasminoides (Lindl.) Lem.,Apocynaceae,Every week,15,38,Partial sun location,26,5,Partial sun
1374048,Tagetes erecta L.,Asteraceae,Twice per week,20,38,Full sun location,35,8,Full sun
1384485,Cucurbita pepo L.,Cucurbitaceae,Twice per week,20,35,Full sun location,22,8,Full sun
1385937,Zamioculcas zamiifolia (Lodd.) Engl.,Araceae,Every 3 weeks,20,38,Partial sun location,29,5,Partial sun
1389510,Aegopodium podagraria L.,Apiaceae,Every week,0,35,Partial sun location,8,5,Partial sun
1391192,Cirsium eriophorum (L.) Scop.,Asteraceae,Every week,20,35,Full sun location,34,8,Full sun
1392475,Alliaria petiolata (M.Bieb.) Cavara & Grande,Brassicaceae,Every week,20,35,Partial sun location,32,5,Partial sun
1393241,Hypericum calycinum L.,Hypericaceae,Every 2-3 weeks,5,35,Full sun location,7,8,Full sun
1393393,Kniphofia uvaria (L.) Hook.,Asphodelaceae,Every week,5,35,Full sun location,8,8,Full sun
1393423,Lamium album L.,Lamiaceae,Every week,5,35,Partial sun location,12,5,Partial sun
1393425,Lamium maculatum (L.) L.,Lamiaceae,Every week,5,35,Partial sun location,11,5,Partial sun
1393614,Liriodendron tulipifera L.,Magnoliaceae,Every 1-2 weeks,5,35,Full sun location,17,8,Full sun
1394382,Anemone alpina L.,Ranunculaceae,Every 1-2 weeks,15,20,Full sun location,18,8,Full sun
1394420,Anemone hepatica L.,Ranunculaceae,Every week,2,32,Partial sun location,20,5,Partial sun
1355932,Pelargonium graveolens L'Hér.,Geraniaceae,Every 1-2 weeks,20,38,Full sun location,32,8,Full sun
1355936,Cirsium arvense (L.) Scop.,Asteraceae,Every week,0,35,Full sun location,28,8,Full sun
1355937,Cirsium vulgare (Savi) Ten.,Asteraceae,Every week,20,35,Full sun location,32,8,Full sun
1355990,Mercurialis annua L.,Euphorbiaceae,Every week,20,38,Full sun location,32,8,Full sun
1356022,Hypericum perforatum L.,Hypericaceae,Every week,5,35,Full sun location,6,8,Full sun
1356257,Melilotus albus Medik.,Fabaceae,Every week,20,38,Full sun location,34,8,Full sun
1356382,Dryopteris filix-mas (L.) Schott,Dryopteridaceae,Twice per week,5,32,Partial sun location,30,5,Partial sun
1356781,Humulus lupulus L.,Cannabaceae,Twice per week,0,35,Full sun location,26,8,Full sun
1357330,Calendula officinalis L.,Asteraceae,Twice per week,20,38,Full sun location,28,8,Full sun
1357635,Helminthotheca echioides (L.) Holub,Asteraceae,Every week,20,35,Full sun location,33,8,Full sun
1358094,Sedum acre L.,Crassulaceae,Every 2-3 weeks,0,32,Full sun location,10,8,Full sun
1358095,Sedum album L.,Crassulaceae,Every 2-3 weeks,20,35,Full sun location,34,8,Full sun
1358133,Sedum sediforme (Jacq.) Pau,Crassulaceae,Every 2 weeks,5,25,Full sun location,20,8,Full sun
1358689,Hypericum androsaemum L.,Hypericaceae,Every 1-2 weeks,5,35,Full sun location,6,8,Full sun
1358752,Lamium purpureum L.,Lamiaceae,Every week,20,35,Partial sun location,26,5,Partial sun
1358766,Lavandula stoechas L.,Lamiaceae,Every week,5,35,Full sun location,15,8,Full sun
1359498,Trifolium incarnatum L.,Fabaceae,Every week,20,35,Full sun location,29,8,Full sun
1359517,Trifolium pratense L.,Fabaceae,Every week,20,35,Full sun location,22,8,Full sun
1359616,Punica granatum L.,Lythraceae,Every 1-2 weeks,5,38,Full sun location,24,8,Full sun
1359620,Alcea rosea L.,Malvaceae,Every week,0,35,Full sun location,28,8,Full sun
1360978,Pancratium maritimum L.,Amaryllidaceae,Every week,15,35,Full sun location,16,8,Full sun
1361656,Ophrys apifera Huds.,Orchidaceae,Every 1-2 weeks,10,35,Partial sun location,21,5,Partial sun
1361823,Lamium galeobdolon (L.) L.,Lamiaceae,Every week,20,35,Partial sun location,28,5,Partial sun
1361824,Lavandula angustifolia Mill.,Lamiaceae,Every week,5,35,Full sun location,27,8,Full sun
1362490,Sedum rupestre L.,Crassulaceae,Every week,10,35,Full sun location,22,8,Full sun
1363128,Papaver rhoeas L.,Papaveraceae,Every week,20,35,Full sun location,30,8,Full sun
1363130,Papaver somniferum L.,Papaveraceae,Twice per week,20,35,Full sun location,20,8,Full sun
1363227,Daucus carota L.,Apiaceae,Twice per week,20,35,Full sun location,28,8,Full sun
1363336,Smilax aspera L.,Smilacaceae,Every 3 weeks,15,38,Full sun location,22,8,Full sun
1363740,Trifolium repens L.,Fabaceae,Every week,0,35,Full sun location,27,8,Full sun
1363764,Acacia dealbata Link,Fabaceae,Every 1-2 weeks,15,38,Full sun location,27,8,Full sun
1363991,Fragaria vesca L.,Rosaceae,Every week,5,35,Full sun location,11,8,Full sun
1364099,Centranthus ruber (L.) DC.,Caprifoliaceae,Every week,20,35,Full sun location,33,8,Full sun
1364164,Lapsana communis L.,Asteraceae,Every week,20,35,Partial sun location,29,5,Partial sun
1364173,Lactuca serriola L.,Asteraceae,Every week,20,35,Full sun location,33,8,Full sun
1367432,Lupinus polyphyllus Lindl.,Fabaceae,Every 1-2 weeks,0,35,Full sun location,6,8,Full sun
1369887,Trachelospermum jasminoides (Lindl.) Lem.,Apocynaceae,Every week,15,38,Partial sun location,17,5,Partial sun
1374048,Tagetes erecta L.,Asteraceae,Twice per week,20,38,Full sun location,33,8,Full sun
1384485,Cucurbita pepo L.,Cucurbitaceae,Twice per week,20,35,Full sun location,29,8,Full sun
1385937,Zamioculcas zamiifolia (Lodd.) Engl.,Araceae,Every 3 weeks,20,38,Partial sun location,30,5,Partial sun
1389510,Aegopodium podagraria L.,Apiaceae,Every week,0,35,Partial sun location,9,5,Partial sun
1391192,Cirsium eriophorum (L.) Scop.,Asteraceae,Every week,20,35,Full sun location,31,8,Full sun
1392475,Alliaria petiolata (M.Bieb.) Cavara & Grande,Brassicaceae,Every week,20,35,Partial sun location,33,5,Partial sun
1393241,Hypericum calycinum L.,Hypericaceae,Every 2-3 weeks,5,35,Full sun location,27,8,Full sun
1393393,Kniphofia uvaria (L.) Hook.,Asphodelaceae,Every week,5,35,Full sun location,18,8,Full sun
