Plant ID,Plant Name,Family,Watering Frequency,Min Ideal Temperature in Celicius,Max Ideal Temperature in Celicius,Sunlight,Air temperature in Celicius
1355868,Lactuca virosa L.,Asteraceae,Every week,20,35,Full sun,22
1355920,Pelargonium capitatum (L.) L'H̩r.,Geraniaceae,Every week,15,38,Full sun,36
1355932,Pelargonium graveolens L'H̩r.,Geraniaceae,Every 1-2 weeks,20,38,Full sun,21
1355936,Cirsium arvense (L.) Scop.,Asteraceae,Every week,0,35,Full sun,32
1355937,Cirsium vulgare (Savi) Ten.,Asteraceae,Every week,20,35,Full sun,25
1355955,Pelargonium odoratissimum (L.) L'H̩r.,Geraniaceae,,,,,0
1355959,Pelargonium peltatum (L.) L'H̩r.,Geraniaceae,Every week,20,38,Full sun,34
1355961,Pelargonium quercifolium (L. f.) L'H̩r.,Geraniaceae,Every week,15,38,Full sun,33
1355978,Pelargonium zonale (L.) L'H̩r.,Geraniaceae,Every week,20,38,Full sun,24
1355990,Mercurialis annua L.,Euphorbiaceae,Every week,20,38,Full sun,36
1356003,Phyllanthus tenellus Roxb.,Euphorbiaceae,Every week,20,38,Full sun,37
1356022,Hypericum perforatum L.,Hypericaceae,Every week,5,35,Full sun,19
1356037,Egeria densa Planch.,Hydrocharitaceae,Every week,5,38,Full sun,11
1356055,Ibicella lutea (Lindl.) Van Eselt.,Bignoniaceae,Every week,,,Full sun,0
1356075,Tradescantia fluminensis Vell.,Commelinaceae,Every week,20,38,Partial sun,30
1356076,Tradescantia zebrina Heynh. ex Bosse,Commelinaceae,Every week,20,38,Partial sun,34
1356111,Lamium amplexicaule L.,Lamiaceae,Every week,20,35,Partial sun,30
1356126,Lavandula dentata L.,Lamiaceae,Every week,15,35,Full sun,19
1356138,Striga asiatica (L.) Kuntze,Orobanchaceae,Every week,20,35,Full sun,33
1356257,Melilotus albus Medik.,Fabaceae,Every week,20,38,Full sun,37
1356278,Trifolium fragiferum L.,Fabaceae,Every week,10,25,Partial sun,12
1356279,Asystasia gangetica (L.) T. Anderson,Acanthaceae,Every week,20,38,Full sun,26
1356309,Nymphaea nouchali Burm. f.,Nymphaeaceae,Every week,5,35,Full sun,33
1356379,Dryopteris aemula (Aiton) Kuntze,Dryopteridaceae,Twice per week,20,38,Full shade,20
1356380,Dryopteris affinis (1 time per week or lesse) Fraser-Jenk.,Dryopteridaceae,Twice per week,20,38,Partial sun,23
1356382,Dryopteris filix-mas (L.) Schott,Dryopteridaceae,Twice per week,5,32,Partial sun,17
1356420,Nephrolepis cordifolia (L.) C. Presl,Nephrolepidaceae,Every week,20,38,Partial sun,29
1356421,Nephrolepis exaltata (L.) Schott,Nephrolepidaceae,Twice per week,20,38,Partial sun,37
1356428,Osmunda regalis L.,Osmundaceae,Every week,0,35,Partial sun,29
1356469,Achyranthes aspera L.,Amaranthaceae,Every week,20,35,Full sun,24
1356692,Lithodora fruticosa (L.) Griseb.,Boraginaceae,Every 2-3 weeks,,,Full sun,0
1356781,Humulus lupulus L.,Cannabaceae,Twice per week,0,35,Full sun,17
1356816,Vaccaria hispanica (Mill.) Rauschert,Caryophyllaceae,Every week,20,35,Full sun,25
1356847,Spergularia rubra (L.) J. Presl & C. Presl,Caryophyllaceae,Every week,20,35,Full sun,26
1356901,Moehringia trinervia (L.) Clairv.,Caryophyllaceae,Every week,20,35,Full sun,32
1357330,Calendula officinalis L.,Asteraceae,Twice per week,20,38,Full sun,23
1357331,Calendula stellata Cav.,Asteraceae,,,,,0
1357367,Carthamus caeruleus L.,Asteraceae,,,,,0
1357379,Carthamus lanatus L.,Asteraceae,Every week,20,35,Full sun,20
1357506,Cirsium monspessulanum (L.) Hill,Asteraceae,Every week,15,35,Full sun,16
1357635,Helminthotheca echioides (L.) Holub,Asteraceae,Every week,20,35,Full sun,22
1357652,Hyoseris radiata L.,Asteraceae,Every week,15,35,Full sun,16
1357677,Lactuca muralis (L.) Gaertn.,Asteraceae,Every week,15,32,Partial sun,19
1357681,Lactuca saligna L.,Asteraceae,Every week,20,35,Full sun,22
1357682,Lactuca tenerrima Pourr.,Asteraceae,,,,,0
1357705,Limbarda crithmoides (L.) Dumort.,Asteraceae,Every week,15,35,Full sun,17
1358094,Sedum acre L.,Crassulaceae,Every 2-3 weeks,0,32,Full sun,25
1358095,Sedum album L.,Crassulaceae,Every 2-3 weeks,20,35,Full sun,30
1358096,Sedum amplexicaule DC.,Crassulaceae,,,,,0
1358097,Sedum andegavense (DC.) Desv.,Crassulaceae,,,,,0
1358099,Sedum brevifolium DC.,Crassulaceae,Every 2 weeks,20,38,Full sun,25
1358101,Sedum caeruleum L.,Crassulaceae,Every 3 weeks,15,35,Full sun,21
1358102,Sedum caespitosum (Cav.) DC.,Crassulaceae,Every 3 weeks,5,35,Full sun,18
1358103,Sedum cepaea L.,Crassulaceae,Every 3 weeks,15,32,Full sun,30
1358105,Sedum dasyphyllum L.,Crassulaceae,Every 2 weeks,15,35,Full sun,23
1358108,Sedum forsterianum Sm.,Crassulaceae,,,,,0
1358112,Sedum hirsutum All.,Crassulaceae,Every 2-3 weeks,20,38,Full sun,34
1358119,Sedum litoreum Guss.,Crassulaceae,Every 3 weeks,20,38,Full sun,21
1358127,Sedum multiceps Coss. & Durieu,Crassulaceae,Every 2 weeks,15,35,Full sun,19
1358132,Sedum rubens L.,Crassulaceae,Every 2-3 weeks,15,38,Full sun,23
1358133,Sedum sediforme (Jacq.) Pau,Crassulaceae,,,,,0
1358150,Alliaria petiolata (M. Bieb.) Cavara & Grande,Brassicaceae,Every week,20,35,Partial sun,32
1358193,Boscia angustifolia A. Rich.,Zygophyllaceae,,,,,0
1358302,Fibigia clypeata (L.) Medik.,Zygophyllaceae,Every week,20,35,Full sun,28
1358365,Maerua angolensis DC.,Zygophyllaceae,Every 2-3 weeks,20,35,Full sun,33
1358519,Acalypha virginica L.,Euphorbiaceae,Every week,20,38,Partial sun,25
1358605,Mercurialis perennis L.,Euphorbiaceae,Every week,5,32,Partial sun,10
1358608,Phyllanthus reticulatus Poir.,Euphorbiaceae,Every 2-3 weeks,15,38,Full sun,34
1358689,Hypericum androsaemum L.,Hypericaceae,Every 1-2 weeks,5,35,Full sun,15
1358690,Hypericum australe Ten.,Hypericaceae,,,,,0
1358691,Hypericum canariense L.,Hypericaceae,Every 2-3 weeks,20,35,Full sun,32
1358695,Hypericum empetrifolium Willd.,Hypericaceae,,,,,0
1358699,Hypericum hircinum L.,Hypericaceae,Every 2-3 weeks,5,35,Full sun,11
1358700,Hypericum hirsutum L.,Hypericaceae,Every week,15,35,Full sun,34
1358701,Hypericum humifusum L.,Hypericaceae,Every week,10,35,Full sun,15
1358703,Hypericum linariifolium Vahl,Hypericaceae,,,,,0
1358704,Hypericum montanum L.,Hypericaceae,Every week,20,38,Full sun,26
1358706,Hypericum perfoliatum L.,Hypericaceae,Every week,10,35,Full sun,16
1358710,Hypericum tetrapterum Fr.,Hypericaceae,Every week,10,35,Full sun,12
1358711,Hypericum tomentosum L.,Hypericaceae,,,,,0
1358748,Lamium bifidum Cirillo,Lamiaceae,,,,,0
1358749,Lamium flexuosum Ten.,Lamiaceae,,,,,0
1358750,Lamium garganicum L.,Lamiaceae,,,,,0
1358751,Lamium hybridum Vill.,Lamiaceae,,,,,0
1358752,Lamium purpureum L.,Lamiaceae,Every week,20,35,Partial sun,30
1358755,Lavandula canariensis Mill.,Lamiaceae,,,,,0
1358759,Lavandula minutolii Bolle,Lamiaceae,,,,,0
1358760,Lavandula multifida L.,Lamiaceae,Every week,20,35,Full sun,30
1358766,Lavandula stoechas L.,Lamiaceae,Every week,5,35,Full sun,15
1359060,Acacia mellifera (Vahl) Benth.,Fabaceae,,,,,0
1359064,Acacia seyal Delile,Fabaceae,,,,,0
1359065,Acacia tortilis (Forssk.) Hayne,Fabaceae,,,,,0
1359197,Galega officinalis L.,Fabaceae,Every 2 weeks,20,35,Full sun,21
1359331,Lupinus cosentinii Guss.,Fabaceae,,,,,0
1359332,Lupinus micranthus Guss.,Fabaceae,Every week,20,35,Full sun,22
1359359,Melilotus italicus (L.) Lam.,Fabaceae,,,,,0
1359364,Melilotus sulcatus Desf.,Fabaceae,Every week,,,Full sun,0
1359483,Trifolium angustifolium L.,Fabaceae,Every week,20,38,Full sun,29
1359485,Trifolium arvense L.,Fabaceae,Every week,20,38,Full sun,35
1359486,Trifolium aureum Pollich,Fabaceae,Every week,20,35,Full sun,23
1359488,Trifolium campestre Schreb.,Fabaceae,Every week,20,35,Full sun,33
1359489,Trifolium cherleri L.,Fabaceae,,,,,0
1359495,Trifolium hirtum All.,Fabaceae,Every week,20,35,Full sun,27
1359497,Trifolium hybridum L.,Fabaceae,Every week,20,35,Full sun,30
1359498,Trifolium incarnatum L.,Fabaceae,Every week,20,35,Full sun,22
1359502,Trifolium lappaceum L.,Fabaceae,Every week,20,35,Full sun,22
1359505,Trifolium michelianum Savi,Fabaceae,,,,,0
1359506,Trifolium micranthum Viv.,Fabaceae,Every week,20,38,Full sun,20
1359508,Trifolium montanum L.,Fabaceae,Every week,5,25,Full sun,5
1359510,Trifolium ochroleucon Huds.,Fabaceae,Every week,5,35,Full sun,34
1359513,Trifolium pannonicum Jacq.,Fabaceae,,,,,0
1359514,Trifolium patens Schreb.,Fabaceae,,,,,0
1359517,Trifolium pratense L.,Fabaceae,,,,,0
1359518,Trifolium purpureum Loisel.,Fabaceae,,,,,0
1359519,Trifolium resupinatum L.,Fabaceae,Every week,20,35,Full sun,28
1359521,Trifolium scabrum L.,Fabaceae,Twice per week,20,38,Full sun,32
1359523,Trifolium spumosum L.,Fabaceae,Twice per week,20,38,Full sun,36
1359524,Trifolium squamosum L.,Fabaceae,Every week,20,38,Full sun,25
